organisms,counts
Rathayibacter agropyri,2
Corynebacterium glucuronolyticum,2
Nocardia sienata,2
Nonomuraea ceibae,2
Streptomyces milbemycinicus,2
Arthrobacter sp. E3,3
Leifsonia sp. PS1209,3
Streptomyces lavenduligriseus,2
Dietzia sp. KRD202,3
Gordonia sp. YY1,3
Curtobacterium sp. WW7,3
Streptomyces bingchenggensis,2
Arthrobacter sp. zg-Y919,3
Gordonia insulae,2
Micromonospora sp. WP24,3
Curtobacterium sp. MCLR17_043,3
Blastococcus sp. TBT05-19,3
Streptomyces sp. NRRL F-5755,4
Flexivirga aerilata,2
Actinomyces sp. ICM47,3
Acidipropionibacterium jensenii,2
Candidatus Nocardiopsis merdipullorum,3
Mycolicibacterium thermoresistibile ATCC 19527,4
Actinokineospora spheciospongiae,2
Amycolatopsis sp. BJA-103,3
Nocardioides agariphilus,2
Nesterenkonia sandarakina,2
Actinoplanes cyaneus,2
Propionibacteriaceae bacterium,2
Gordonia alkaliphila,2
Geodermatophilaceae bacterium NBWT11,3
Kineococcus vitellinus,2
Micromonospora maris,2
Micromonospora halophytica,2
Microbacterium sp. zg.B185,3
Actinomadura namibiensis,2
Jiangella asiatica,2
Mycobacterium kyorinense,2
Nocardia iowensis,2
Streptomyces sp. SID7909,3
Mycolicibacterium sp. CBMA 361,4
Nesterenkonia sphaerica,2
Gordonia sp. SGD-V-85,3
Streptomyces sp. NA04227,3
Rhodococcus sp. CH91,3
Amycolatopsis sp. ATCC 39116,4
Clavibacter zhangzhiyongii,2
Cellulomonas chitinilytica,2
Gordonia sihwensis,2
Streptomyces himalayensis subsp. himalayensis,4
Streptosporangium violaceochromogenes,2
Kitasatospora sp. CB01950,3
Cryobacterium sp. Sr39,3
Microbacterium sp. SLBN-146,3
unclassified Amycolatopsis,2
Streptomyces sp. 2132.2,3
unclassified Plantactinospora,2
Bifidobacterium callitrichos,2
Streptomyces sp. Amel2xC10,3
Streptomyces sp. ADI91-18,3
Streptomyces alboniger,2
Actinoplanes consettensis,2
Bifidobacterium pseudocatenulatum CAG:263,3
Kytococcus aerolatus,2
Micrococcus sp. ACRRV,3
Devriesea agamarum,2
Actinoallomurus sp. WRP9H-5,3
Actinomyces graevenitzii,2
Nocardiopsis sp. HDS5,3
Streptomyces sp. HPF1205,3
Mycobacterium sp. OAS707,3
Gordonia effusa,2
Corynebacterium sputi,2
Mycolicibacterium mucogenicum,2
Cryobacterium sp. RHLS22-1,3
Rothia mucilaginosa,2
Actinobaculum sp. 352,3
Mycolicibacterium stellerae,2
Rhodococcus pyridinivorans AK37,3
Leifsonia sp. Leaf264,3
Nocardiopsis sp. MG754419,3
Kocuria sp. CCUG 69068,4
Propionibacterium sp. KPL2008,3
Mycobacterium heraklionense,2
Agromyces humatus,2
unclassified Propioniciclava,2
Nakamurella sp. PAMC28650,3
Mycobacterium sp. 1245111.1,3
Hoyosella lacisalsi,2
Parascardovia denticolens,2
Catenulispora acidiphila,2
Frankineae bacterium MT45,3
Nocardioides deserti,2
Kibdelosporangium philippinense,2
Mycolicibacterium sp. CBMA 329,4
Marinactinospora thermotolerans DSM 45154,4
Nocardioides alpinus,2
Rhodococcus sp. ARC_M6,3
Mycobacterium neglectum,2
Bifidobacterium bifidum LMG 13195,4
Dermacoccus sp. Tok2021,3
Streptomyces melanosporofaciens,2
Brachybacterium sp. EE-P12,3
Streptomyces candidus,2
Streptomyces microflavus,2
Streptomyces odonnellii,2
Varibaculum vaginae,2
Streptomyces sp. A0958,3
Microbacterium lemovicicum,2
Corynebacterium suicordis,2
Mycetocola zhujimingii,2
Citricoccus zhacaiensis,2
Streptomonospora sp. PA3,3
Streptomyces sp. 3211.6,3
Mycolicibacterium fallax,2
Corynebacterium sp. HMSC078A10,3
Blastococcus sp. KM273129,3
Prescottella agglutinans,2
Streptomyces ardesiacus,2
Corynebacterium sp. ACRPH,3
Aeromicrobium sp. S22,3
Streptomyces pseudogriseolus,2
Cutibacterium acnes JCM 18909,4
Streptomyces sp. CRB46,3
Micromonospora krabiensis,2
Gleimia hominis,2
Mycobacterium sp. IS-836,3
Streptomyces sp. CAI-24,3
Nocardioides anomalus,2
Arthrobacter sp. GMC3,3
Streptomyces calvus,2
Nonomuraea sp. WAC 01424,4
Streptomyces sp. or20,3
Nonomuraea antri,2
Leucobacter musarum,2
Arthrobacter sp. SW1,3
Actinomadura sp. J1-007,3
Actinomycetospora corticicola,2
Frankia sp. Cc1.17,3
Streptomyces sp. A1-5,3
Streptomyces sp. NRRL S-646,4
Mycobacterium sp. BK558,3
Microbacterium sp. USTB-Y,3
Allocatelliglobosispora scoriae,2
Arthrobacter sp. SLBN-122,3
Nocardioides litoris,2
Streptomyces sp. me109,3
Actinomadura algeriensis,2
Micromonospora sp. KC606,3
Microbacterium sp. Bi121,3
Micromonospora humi,2
Tessaracoccus timonensis,2
Phycicoccus sp. CSK15P-2,3
Nocardioides jejuensis,2
Streptomyces sp. SW4,3
Mycolicibacterium llatzerense,2
Streptomyces sp. CdTB01,3
Corynebacterium sp. FDAARGOS 1242,4
Streptomyces sp. NA02950,3
Pseudonocardia sp. HH130629-09,3
Streptomyces sp. SID11233,3
Nakamurella lactea,2
Mycolicibacterium rhodesiae JS60,3
Auritidibacter sp. NML120636,3
Rathayibacter sp. AY1A3,3
Micromonospora maritima,2
Actinomadura cremea,2
Candidatus Corynebacterium faecigallinarum,3
Dietzia sp. DQ12-76,3
Candidatus Corynebacterium faecipullorum,3
Bifidobacterium canis,2
Knoellia flava TL1,3
Streptomyces sp. Rer75,3
Bifidobacterium sp. UTCIF-39,3
Pseudonocardia abyssalis,2
Dietzia sp. E1,3
Salinispora cortesiana,2
Nocardioides rubriscoriae,2
Arthrobacter jiangjiafuii,2
Cryobacterium sp. Hb1,3
Nonomuraea africana,2
Streptomyces sp. st140,3
Streptomyces monomycini,2
Streptomyces sp. st115,3
Streptomyces minutiscleroticus,2
Mycobacterium intracellulare MIN_061107_1834,3
Aeromicrobium yanjiei,2
Auraticoccus monumenti,2
Microbacterium sp. SCN 69-37,4
Candidatus Yaniella excrementavium,3
Bifidobacterium reuteri DSM 23975,4
Jiangella gansuensis,2
Actinomyces denticolens,2
Microbacterium sp. UCD-TDU,3
Arcanobacterium bovis,2
Haloactinopolyspora alba,2
Gordonia sp. 'Campus',3
Streptomyces sp. SID10362,3
Actinomadura decatromicini,2
Actinopolymorpha cephalotaxi,2
Streptomyces sp. wa22,3
Streptomyces sp. MW-W600-10,3
Pseudoclavibacter soli,2
Nonomuraea sp. MG754425,3
Streptomyces sp. AV19,3
Prauserella sp. PE36,3
Nocardia sp. ncl2,3
Gordonia sp.,2
Rhodococcus rhodnii,2
Antrihabitans sp. YC2-6,3
Myceligenerans salitolerans,2
Geodermatophilus tzadiensis,2
Kribbella monticola,2
Arthrobacter sp. U41,3
Streptomyces samsunensis,2
Corynebacterium jeikeium K411,3
Rothia sp. HMSC073B08,3
Actinocorallia sp. API 0066,4
Saccharothrix sp. NEAU-S10,3
Actinomyces sp. oral taxon 897,5
Mycolicibacterium smegmatis,2
Streptomyces sp. NEAU-H3,3
Mycolicibacterium neoaurum,2
Actinoallomurus sp. WRP6H-15,3
Nonomuraea gerenzanensis,2
Mycobacterium doricum,2
Aeromicrobium sp. A1-2,3
Schaalia hyovaginalis,2
Brevibacterium aurantiacum,2
Jatrophihabitans sp. GAS493,3
Propionibacterium sp. oral taxon 192,5
Streptomyces curacoi,2
Corynebacterium sp. p3-SID1056,3
Leucobacter exalbidus,2
Bifidobacterium pseudolongum subsp. globosum,4
Frigoribacterium sp. PhB24,3
Jatrophihabitans endophyticus,2
Kitasatospora phosalacinea,2
Microbacterium sp. SCN 71-17,4
Pseudoscardovia suis,2
Curtobacterium sp. VKM Ac-1393,4
Streptomyces sp. KS_5,3
Streptomyces sp. RY43-2,3
Rathayibacter oskolensis,2
Gryllotalpicola ginsengisoli,2
Chryseoglobus indicus,2
Microbacteriaceae bacterium,2
Streptomyces albogriseolus,2
Pseudoglutamicibacter cumminsii,2
Mumia zhuanghuii,2
Actinomadura macrotermitis,2
Streptomyces rubradiris,2
Helcobacillus massiliensis,2
Sinomonas atrocyanea,2
Corynebacterium cyclohexanicum,2
Rhodococcus marinonascens,2
Nocardioides immobilis,2
Tomitella cavernea,2
Streptomyces gancidicus,2
Streptomyces sp. Root1310,3
Corynebacterium variabile,2
Streptomyces sp. GQFP,3
Propioniciclava sinopodophylli,2
Actinomadura rubrisoli,2
Rhodococcus sp. USK13,3
Kribbellaceae bacterium,2
Streptacidiphilus oryzae,2
Streptomyces glebosus,2
Gordonia shandongensis,2
Pseudonocardia sp.,2
Propionibacterium sp. KPL2009,3
Cellulomonas oligotrophica,2
Nesterenkonia sp. GX14115,3
Pseudonocardia sp. McavD-2-B,3
Actinospica acidiphila,2
Pseudarthrobacter sp. MDT3-26,3
Agrococcus pavilionensis,2
Agromyces sp. CF514,3
Micromonospora veneta,2
Streptacidiphilus pinicola,2
Rathayibacter sp. VKM Ac-2754,4
Mycobacterium xenopi RIVM700367,3
Aurantimicrobium sp. MWH-Uga1,3
Nocardioides sp. Soil774,3
Nocardia vulneris,2
Leifsonia naganoensis,2
uncultured Nocardioides sp.,3
Geodermatophilus sabuli,2
Streptomyces barkulensis,2
Streptomyces sp. DJ,3
Mycobacterium tuberculosis RGTB423,3
Citricoccus muralis,2
Arthrobacter sp. Soil763,3
Mycobacterium tuberculosis T85,3
Brachybacterium sp. JHP9,3
Kutzneria albida,2
Aeromicrobium sp. IC_218,3
Mycolicibacterium komanii,2
Cryobacterium sp. Sr59,3
Ornithinimicrobium ciconiae,2
Microbacterium saccharophilum,2
Actinoplanes regularis,2
Microbacterium sp. 1S1,3
Nocardia sp. DSM 111727,4
Micromonospora orduensis,2
Streptomyces sabulosicollis,2
Microbacterium yannicii,2
Streptomyces adustus,2
Couchioplanes caeruleus,2
Microbispora amethystogenes,2
Thermobifida fusca,2
Streptosporangium subroseum,2
Georgenia thermotolerans,2
Mycobacterium sp. E796,3
Fannyhessea vaginae,2
Frondihabitans sp. VKM Ac-2883,4
Corynebacterium sp. HMSC11E11,3
Streptomyces sp. CBMA152,3
Leucobacter sp. L43,3
Streptomyces albidus (ex Kaewkla and Franco 2021),7
Luteipulveratus halotolerans,2
Microbispora triticiradicis,2
Demequina globuliformis,2
Mycobacterium sp. 852014-50255_SCH5639931,3
Microbacterium sp. SUBG005,3
Nocardioides thalensis,2
Streptosporangiaceae bacterium NEAU-GS5,3
Jiangella endophytica,2
Actinomyces sp. 432,3
Corynebacterium incognita,2
Leifsonia psychrotolerans,2
Streptomyces clavifer,2
Streptomyces sp. RLA2-12,3
Streptomyces sp. MUM 136J,4
Microbacterium sp. KSW4-6,3
Actinomyces sp. oral taxon 448,5
Aeromicrobium sp. zg-Y50,3
Micromonospora chaiyaphumensis,2
unclassified Microbispora,2
unclassified Agromyces,2
Streptomyces sp. ADI95-17,3
Plantibacter sp. M259,3
Leucobacter sp. OLES1,3
Corynebacterium pyruviciproducens,2
Amycolatopsis mediterranei,2
Streptomyces sp. or43,3
unclassified Paenarthrobacter,2
Leucobacter sp. PH1c,3
Blastococcus sp. TML/C7B,3
Mycolicibacillus parakoreensis,2
Gulosibacter massiliensis,2
Streptomyces sp. BR123,3
Saccharopolyspora elongata,2
Dactylosporangium fulvum,2
Streptacidiphilus rugosus,2
unclassified Kribbella,2
Brevibacterium linens,2
Streptomyces brasiliscabiei,2
Agromyces binzhouensis,2
Streptomyces ureilyticus,2
Mycobacterium sp. AZCC_0083,3
uncultured Quadrisphaera sp.,3
Pseudonocardia pini,2
Phycicoccus sp. HDW14,3
Streptomyces sp. SAJ15,3
Enemella evansiae,2
Yonghaparkia sp. Soil809,3
Microbacterium profundi,2
Cryobacterium sp. Y62,3
Pseudonocardia sp. AL041005-10,3
Micromonospora haikouensis,2
Chryseoglobus frigidaquae,2
Arthrobacter yangruifuii,2
Mycobacterium sp. ENV421,3
Streptomyces benahoarensis,2
unclassified Agreia,2
Kineosporiaceae bacterium,2
Oerskovia enterophila,2
Streptomyces endocoffeicus,2
Actinomadura oligospora,2
Bifidobacterium miconisargentati,2
Streptomyces sp. HB132,3
Ornithinimicrobium sp. HY1793,3
Gordonia sp. SCSIO 19800,4
Leifsonia sp. NCR5,3
Kitasatospora cineracea,2
Rhodoluna lacicola,2
Nocardioides massiliensis,2
Cellulomonadaceae bacterium TMED98,3
Xylanimonas oleitrophica,2
Streptomyces capitiformicae,2
Microbacterium sp. GCS4,3
Blastococcus sp. DSM 46838,4
Arthrobacter sp. AK04,3
Actinomadura pelletieri,2
Streptomyces rubrogriseus,2
Arthrobacter castelli,2
Kocuria sp. ZOR0020,3
Streptomyces sp. PIP175,3
Demequina iriomotensis,2
Nocardioides sp. J2M5,3
Rhodococcus sp. UNC363MFTsu5.1,3
Micromonospora sp. Rc5,3
Actinocorallia populi,2
Streptomyces akebiae,2
Cellulomonas sp. P24,3
Amycolatopsis sp. AA4,3
Corynebacterium accolens,2
Streptomyces aurantiacus,2
Nakamurella silvestris,2
Nocardia aurantia,2
Aurantimicrobium photophilum,2
Streptomyces sp. LUP30,3
Rothia sp. P3C3.S176,3
Micromonospora sp. M71_S20,3
Gordonia aichiensis NBRC 108223,4
Actinomyces faecalis,2
Brevibacterium pigmentatum,2
Nonomuraea diastatica,2
Streptomyces sp. CB02400,3
Cellulomonas sp. Root485,3
Nocardia sp. NRRL S-836,4
Microbacterium aerolatum,2
Streptomyces sp. NRRL F-4474,4
Corynebacterium sp. CCM 8862,4
Nocardia sp. CY41,3
Agrococcus terreus,2
Actinokineospora pegani,2
Mycobacterium tuberculosis CAS/NITR204,3
Spiractinospora alimapuensis,2
Streptomyces sp. LBUM 1485,4
Aurantimicrobium minutum,2
Agreia sp. COWG,3
Microbacterium sp. K24,3
Micromonospora sp. A202,3
Streptomyces spongiae,2
Actinomadura sp. WAC 06369,4
Aeromicrobium sp.,2
Nocardioides sp. Leaf307,3
Rhodococcus sp. SRB_17,3
Micromonospora sp. PPF5-6,3
Amycolatopsis sp. SID8362,3
Diaminobutyricibacter tongyongensis,2
Kribbella flavida,2
Planomonospora sp. ID67723,3
Protaetiibacter larvae,2
Streptomyces sp. SID8499,3
Microbacterium sp. BWT-G7,3
Corynebacterium ulcerans,2
Mycobacterium sp. 141,3
Thermomonospora catenispora,2
Micropruina sp.,2
Hamadaea flava,2
Nonomuraea coxensis,2
Kineosporia mesophila,2
Thermomonospora amylolytica,2
Prescottella subtropica,2
Nocardia jinanensis,2
Kutzneria buriramensis,2
Brevibacterium daeguense,2
Amycolatopsis anabasis,2
Austwickia sp.,2
Streptomyces luteoverticillatus,2
Streptomyces sp. CMB-StM0423,3
Prauserella endophytica,2
Geodermatophilus chilensis,2
Streptomyces griseorubens,2
Actinomyces sp. oral taxon 877 str. F0543,7
Microbacterium sp. AG1240,3
Rhodococcus rhodochrous,2
Streptomyces regensis,2
Micromonospora chokoriensis,2
Mycetocola reblochoni,2
Nakamurella multipartita DSM 44233,4
Lacisediminihabitans changchengi,2
Microbacterium sp. K35,3
Streptomyces sp. NBRC 110611,4
Streptomyces populi,2
Micromonospora sp. NIE111,3
unclassified Salinibacterium,2
Streptomyces sp. RKND-216,3
Arthrobacter globiformis,2
Actinomyces urinae,2
Nocardioides humi,2
Intrasporangium flavum,2
Actinomyces massiliensis F0489,3
Longispora albida,2
Kocuria sediminis,2
Janibacter corallicola,2
Nocardioides sp. SR21,3
Kibdelosporangium sp. MJ126-NF4,3
Actinomadura sp. KC06,3
Bifidobacterium animalis subsp. lactis CNCM I-2494,6
Actinomadura glauciflava,2
Bifidobacterium reuteri,2
Actinomyces timonensis,2
Streptomyces albulus,2
Nocardia takedensis,2
Streptomyces sp. MBT70,3
Microbispora catharanthi,2
Actinophytocola sp. S1-96,3
Actinoplanes rishiriensis,2
Curtobacterium sp. Leaf261,3
Actinomadura sp. 7K534,3
Mycobacterium tuberculosis variant bovis,4
Nocardia neocaledoniensis,2
Nocardioides sp. J9,3
Prauserella flavalba,2
Bifidobacterium animalis subsp. lactis,4
Bifidobacterium scardovii,2
Kribbella jiaozuonensis,2
Plantibacter sp. MMLR14_011,3
Subtercola sp. AK-R2A1-2,3
Amycolatopsis viridis,2
Paenarthrobacter sp. GOM3,3
Curtobacterium sp. ME26,3
Plantactinospora endophytica,2
Streptomyces yangpuensis,2
Umezawaea endophytica,2
Rhodococcus wratislaviensis IFP 2016,4
Nocardioides szechwanensis,2
Kocuria atrinae,2
Planotetraspora mira,2
Mycobacterium talmoniae,2
Nocardiopsis sp. BM-2018,3
Streptomyces sp. GZWMJZ-114,3
Corynebacterium sp. TAE3-ERU16,3
Amycolatopsis regifaucium,2
Streptomyces tauricus,2
Mycobacterium xenopi 4042,3
Pedococcus bigeumensis,2
Actinoplanes sp. TBRC 11911,4
Corynebacterium phoceense,2
Serinicoccus chungangensis,2
Streptomyces lomondensis,2
Saccharothrix sp. 6-C,3
Modestobacter muralis,2
Mycolicibacterium sp. P9-64,3
Streptomyces sp. ODS05-4,3
Streptomyces sp. TLI_146,3
Mycobacterium avium complex (MAC),4
Streptomyces sp. ST2-7A,3
Actinomyces gaoshouyii,2
Kribbella sp. VKM Ac-2527,4
Streptomyces sp. Tu 2975,4
Frankia canadensis,2
Nonomuraea sp. SYSU D8015,4
Cutibacterium acnes subsp. defendens ATCC 11828,6
Saccharomonospora glauca,2
Kitasatospora sp. SolWspMP-SS2h,3
Streptomyces sp. M600PL45_2,3
Bifidobacterium bifidum IPLA 20015,4
Jiangella rhizosphaerae,2
Corynebacterium sp. KPL1860,3
Streptomyces radicis,2
Labedaea rhizosphaerae,2
Actinomadura citrea,2
unclassified Pseudarthrobacter,2
Microbacterium sp. SCN 70-18,4
Prauserella isguenensis,2
Pseudonocardia hierapolitana,2
Nocardia sp. BMG51109,3
Streptosporangium roseum,2
Mycobacterium sp. ITM-2016-00318,3
Arthrobacter sp. ov407,3
Demequina sp. NBRC 110054,4
Mycolicibacterium psychrotolerans,2
Mycobacterium sp. 1245805.9,3
Nocardioides stalactiti,2
Verrucosispora sonchi,2
Kocuria indica,2
Streptomyces sp. SM11,3
Streptomyces sp. SID8455,3
Sinomonas notoginsengisoli,2
Pseudonocardia sp. CNS-004,3
Scardovia wiggsiae,2
Streptomyces blattellae,2
Brevibacterium luteolum,2
Nocardia aobensis,2
Streptomyces platensis,2
Arcanobacterium sp. S3PF19,3
Microcella alkaliphila,2
Clavibacter sp. CFBP 8616,4
Mycolicibacterium sarraceniae,2
Cutibacterium acnes TypeIA2 P.acn33,4
Herbidospora sakaeratensis,2
Streptomyces griseocarneus,2
Streptomyces noursei,2
Arthrobacter sp. Hiyo8,3
Streptomyces atriruber,2
Streptomyces sp. I05A-00742,3
Nocardiopsis sp. Huas11,3
Actinoplanes italicus,2
Streptomyces sp. NRRL WC-3549,4
Frondihabitans sp. 762G35,3
Corynebacterium kroppenstedtii,2
Streptomyces sp. ISL-99,3
Actinomyces sp. oral taxon 181,5
Leucobacter sp. UCD-THU,3
Mycobacterium attenuatum,2
Brachybacterium vulturis,2
Streptomyces sp. CB01580,3
Asanoa ishikariensis,2
Streptomyces sp. NRRL S-104,4
Williamsia serinedens,2
Microbacterium sp. Root61,3
Geodermatophilus siccatus,2
Agromyces sp. ISL-38,3
Microbacterium sulfonylureivorans,2
Micromonospora matsumotoense,2
Mycobacterium sp. E3298,3
Streptomyces sp. WELS2,3
Herbiconiux sp. CPCC 205716,4
Rothia sp. HMSC065D02,3
Amycolatopsis roodepoortensis,2
Streptomyces graminilatus,2
Streptomyces tsukubensis,2
Corynebacterium sp. sy039,3
Corynebacterium tuscaniense,2
Mycobacterium sp. 852013-51886_SCH5428379,3
Curtobacterium sp. VKM Ac-2887,4
Mycobacterium sp. IEC1808,3
Arthrobacter sp. BF1,3
Nocardioides sp. P86,3
Rathayibacter sp. PhB152,3
Frigoribacterium sp. VKM Ac-2836,4
Jatrophihabitans telluris,2
Actinotalea sp. C106,3
Actinomyces dentalis,2
Streptomyces palmae,2
Mycobacterium sp. GA-0227b,3
Tessaracoccus flavus,2
Phytohabitans flavus,2
Streptomyces sp. 35G-GA-8,3
Micromonospora sp. M42,3
Oerskovia gallyi,2
Curtobacterium sp. PhB137,3
Ruania albidiflava,2
Modestobacter deserti,2
Nocardioides sp. YR527,3
Streptomyces roseus,2
Mycobacterium sp. NS-7484,3
Streptosporangiaceae bacterium,2
Streptosporangium minutum,2
Bifidobacterium minimum,2
Arcanobacterium sp. 2701,3
Asanoa siamensis,2
Frigoribacterium sp. VKM Ac-2530,4
unclassified Microbacterium,2
Mycetocola zhadangensis,2
Bifidobacterium sp.,2
Streptomyces cinerochromogenes,2
Sciscionella marina,2
Microbacterium sp. GbtcB3,3
Streptomyces nojiriensis,2
Pseudarthrobacter enclensis,2
Streptomyces prunicolor,2
Kribbella amoyensis,2
Streptomyces sp. SID9124,3
Nocardioides pelophilus,2
Streptomyces sp. NRRL WC-3742,4
Asanoa iriomotensis,2
Frankia sp. Agncl-18,3
Microbacterium sp. MYb64,3
Streptomyces fungicidicus,2
Actinomadura sp. GC306,3
Streptomyces niveoruber,2
Mycobacterium sp. 852002-51163_SCH5372311,3
Streptomyces boncukensis,2
Nakamurella multipartita,2
Nocardioides sp. zg-1228,3
Branchiibius hedensis,2
Pseudoclavibacter caeni,2
Streptomyces sp. SID2131,3
Salinispora sp. H7-4,3
Nocardioides aromaticivorans,2
Varibaculum prostatecancerukia,2
Arthrobacter pityocampae,2
Actinotalea sp. JY-7876,3
Salinibacterium sp. NG253,3
Streptomyces lavendulae subsp. lavendulae,4
Nocardia vermiculata,2
Leucobacter massiliensis,2
Streptomyces sp. XY511,3
Brevibacterium sp. HMSC08F02,3
Amycolatopsis antarctica,2
Streptomyces sp. CC228A,3
Nakamurella leprariae,2
Rhodococcus sp. MS16,3
Demequina sp.,2
Rhodococcus kroppenstedtii,2
Streptomyces sp. YIM 132580,4
Mycobacterium triplex,2
Streptomyces sp. MCA2,3
Microbacterium sp. H83,3
Saccharothrix sp. ST-888,3
Curtobacterium sp. Leaf183,3
Mycobacterium florentinum,2
Streptomyces buecherae,2
Mycobacterium diernhoferi,2
Nocardioides flavescens,2
Streptomyces cinereoruber,2
Brachybacterium rhamnosum,2
Streptomyces sp. WAC 06738,4
Streptomyces sp. RKAG290,3
Mycobacterium sp. 1554424.7,3
Micromonospora sediminimaris,2
Micromonospora coxensis,2
Bogoriella caseilytica,2
Kribbella turkmenica,2
Arthrobacter sp. AFG7.2,3
Arthrobacter sp. SLBN-100,3
Mycolicibacterium cosmeticum,2
Streptomyces sp. FIT100,3
Mycobacterium tuberculosis SUMu002,3
Rhodococcus opacus M213,3
Leucobacter soli,2
Mycobacterium avium subsp. paratuberculosis 11-1786,5
Mycobacterium colombiense,2
Sporichthya sp.,2
Cellulomonas hominis,2
Actinokineospora inagensis,2
Streptacidiphilus sp. PB12-B1b,3
Mycolicibacterium hassiacum DSM 44199,4
Glutamicibacter sp. BW78,3
Agromyces hippuratus,2
Actinomadura latina,2
Corynebacterium ureicelerivorans,2
Nocardiopsis halotolerans,2
Micrococcales bacterium,2
Microbacterium sp. C448,3
Geodermatophilus sp. Leaf369,3
Micromonospora sp. AP08,3
Dermabacteraceae bacterium TAE3-ERU27,3
Corynebacterium segmentosum,2
Geodermatophilus sp. DSM 45219,4
Rhodoluna sp.,2
Dietzia sp. NCCP-2495,3
Kribbella albertanoniae,2
Streptomyces sp. Tu10,3
Modestobacter sp. VKM Ac-2676,4
Arthrobacter sp. Bz4,3
Corynebacterium poyangense,2
Streptomyces sp. ATCC 21386,4
Gordonia sp. 852002-51296_SCH5728562-b,3
Brevibacterium sp. PAMC23299,3
Cumulibacter soli,2
Streptomyces anulatus,2
Streptomyces solaniscabiei,2
Streptomyces sp. 2131.1,3
Curtobacterium sp. SGAir0471,3
Streptomyces triticirhizae,2
Streptomyces sp. AK010,3
Mycolicibacterium chitae,2
Streptomyces pactum,2
Streptomyces sp. NRRL S-378,4
Nocardia caishijiensis,2
Mycobacterium sp. 1423905.2,3
Saccharopolyspora hordei,2
Glycomyces paridis,2
Mycolicibacterium canariasense,2
Mycobacterium sp. Y57,3
Amycolatopsis coloradensis,2
Streptomyces antioxidans,2
Curtobacterium sp. MCBA15_012,3
Streptomyces sp. BSE7-9,3
Corynebacterium sp. NML140438,3
Streptomyces sp. SID8381,3
Streptosporangium nondiastaticum,2
Rhodococcus sp. NJ-530,3
Haloactinospora alba,2
Kocuria flava,2
Microlunatus endophyticus,2
Streptomyces sp. SID3212,3
Microbacterium paulum,2
Bifidobacterium xylocopae,2
Streptomyces sp. RerS4,3
Arachnia propionica,2
Nocardiopsis sp. NRRL B-16309,4
Plantibacter sp. PA-3-X8,3
Prauserella salsuginis group,3
Aeromicrobium sp. Root236,3
Mycobacterium paraterrae,2
Aquiluna sp. KACHI24,3
Arthrobacter silvisoli,2
Streptomyces bobili,2
Thermoactinospora sp.,2
Mycobacterium sp. E787,3
Brachybacterium massiliense,2
Brevibacterium sp.,2
Micromonosporaceae bacterium,2
Microlunatus parietis,2
Serinicoccus kebangsaanensis,2
Nocardioides sp. zg-1308,3
Amycolatopsis methanolica,2
Corynebacterium senegalense,2
Microbacterium sp. SGAir0570,3
Streptomyces bungoensis,2
Streptomyces yeochonensis,2
Nonomuraea turkmeniaca,2
Corynebacterium mycetoides,2
Bifidobacteriaceae bacterium NR003,3
Pseudonocardia sp. H11425,3
Arthrobacter sp. zg-Y815,3
Salinibacterium sp. UTAS2018,3
Streptomyces sp. ST13-2-2,3
Brevibacterium sp. WHS-Z9,3
Streptomyces sp. SID11385,3
Nocardiopsis sp. SBT366,3
Streptomyces sp. FB2,3
Mycolicibacterium phlei,2
Pseudarthrobacter sp. RMG13,3
Actinomyces sp. oral taxon 170,5
Microbacterium sp. dk485,3
Nocardioides marinisabuli,2
Amycolatopsis palatopharyngis,2
Demetria terragena,2
Geodermatophilus obscurus,2
Arthrobacter sp. Leaf69,3
Corynebacterium sp. CCM 8835,4
Microbacterium sp. KRD172,3
Streptomyces sp. RSD-27,3
Bifidobacterium animalis,2
Pseudarthrobacter sp. HLT1-5,3
Micromonospora lupini,2
Cnuibacter physcomitrellae,2
Mycolicibacterium duvalii,2
Streptomyces sp. LS1784,3
Marmoricola endophyticus,2
Mycobacterium sp. AT1,3
Subtercola sp. Z020,3
Promicromonospora umidemergens,2
Arthrobacter sp. N199823,3
Nesterenkonia halotolerans,2
Streptomyces torulosus,2
Saccharothrix carnea,2
Arthrobacter sp. MAHUQ-56,3
Streptomyces otsuchiensis,2
Pseudarthrobacter sp. NBSH8,3
Streptomyces cadmiisoli,2
Streptomyces peucetius,2
Rathayibacter sp. PhB127,3
Cutibacterium granulosum TM11,3
Streptomyces sp. SID7834,3
Arthrobacter sp. zg-Y820,3
Streptomyces sp. HmicA12,3
Candidatus Stackebrandtia faecavium,3
Streptomyces galilaeus,2
Nocardia amikacinitolerans,2
Mycobacterium orygis 112400015,3
Streptomyces sp. TSRI0107,3
Bifidobacterium mongoliense,2
Mycobacterium sp. E740,3
Haloglycomyces albus,2
Micromonospora sp. CB01531,3
Microlunatus phosphovorus NM-1,3
Mycobacterium liflandii,2
unclassified Crossiella,2
Corynebacterium sp. CNCTC7651,3
Bifidobacterium sp. AGR2158,3
Corynebacterium sp. ACRPR,3
Streptomyces prasinus,2
Gardnerella vaginalis,2
Mycolicibacterium sp. F2034L,3
Arthrobacter sp. Hiyo1,3
Bifidobacterium bifidum PRL2010,3
Streptomyces sp. ST5x,3
Nesterenkonia aurantiaca,2
Curtobacterium sp. 18060,3
Nonomuraea sp. RK-328,3
Salinibacterium sp. SWN248,3
